,date,news_count_marshall_islands_abc,epu_count_marshall_islands_abc,ratio_marshall_islands_abc,z_score_marshall_islands_abc,news_count_total,weight_abc,z_score_weighted,z_score_unweighted,epu_score_weighted,epu_score_unweighted
0,2015-02-01,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1,2015-03-01,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2,2015-04-01,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
3,2015-05-01,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
4,2015-06-01,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
5,2015-07-01,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
6,2015-08-01,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
7,2015-09-01,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
8,2015-10-01,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
9,2015-11-01,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
10,2015-12-01,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
11,2016-01-01,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
12,2016-02-01,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
13,2016-03-01,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
14,2016-04-01,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
15,2016-05-01,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
16,2016-06-01,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
17,2016-07-01,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
18,2016-08-01,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
19,2016-09-01,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
20,2016-10-01,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
21,2016-11-01,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
22,2016-12-01,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
23,2017-01-01,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
24,2017-02-01,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
25,2017-03-01,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
26,2017-04-01,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
27,2017-05-01,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
28,2017-06-01,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
29,2017-07-01,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
30,2017-08-01,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
31,2017-09-01,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
32,2017-10-01,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
33,2017-11-01,3.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
34,2017-12-01,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
35,2018-01-01,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
36,2018-02-01,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
37,2018-03-01,1.0,1.0,1.0,4.242640687119285,1.0,1.0,4.242640687119285,4.242640687119285,1800.0000000000002,5900.0
38,2018-04-01,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
39,2018-05-01,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
40,2018-06-01,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
41,2018-07-01,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
42,2018-08-01,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
43,2018-09-01,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
44,2018-10-01,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
45,2018-11-01,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
46,2018-12-01,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
47,2019-01-01,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
48,2019-02-01,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
49,2019-03-01,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
50,2019-04-01,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
51,2019-05-01,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
52,2019-06-01,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
53,2019-07-01,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
54,2019-08-01,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
55,2019-09-01,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
56,2019-10-01,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
57,2019-11-01,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
58,2019-12-01,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
59,2020-01-01,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
60,2020-02-01,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
