,date,news_count_post_courier,epu_count_post_courier,ratio_post_courier,z_score_post_courier,news_count_papua_new_guinea_abc,epu_count_papua_new_guinea_abc,ratio_papua_new_guinea_abc,z_score_papua_new_guinea_abc,news_count_png_business,epu_count_png_business,ratio_png_business,z_score_png_business,news_count_papua_new_guinea_rnz,epu_count_papua_new_guinea_rnz,ratio_papua_new_guinea_rnz,z_score_papua_new_guinea_rnz,news_count_total,weight_courier,weight_abc,weight_business,weight_rnz,z_score_weighted,z_score_unweighted,epu_score_weighted,epu_score_unweighted
14,2017-02-01,184.0,4.0,0.021739130434782608,3.0479077793295404,25.0,2.0,0.08,1.312592578110936,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,283.0,0.6501766784452296,0.08833922261484099,0.0,0.26148409893992935,2.0976319641321868,1.090125089360119,178.81520454834757,142.5012396188551
15,2017-03-01,283.0,4.0,0.014134275618374558,1.9816785561718566,18.0,1.0,0.05555555555555555,0.91152262368815,0.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0,407.0,0.6953316953316954,0.044226044226044224,0.0,0.26044226044226043,1.4182369499337155,0.7233002949650016,120.8993448978739,94.54987290467457
16,2017-04-01,186.0,4.0,0.021505376344086023,3.015134577401266,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,1.0,0.010638297872340425,0.6214789868213086,301.0,0.6179401993355482,0.06976744186046512,0.0,0.3122923588039867,2.0572560005243803,0.9091533910556437,175.37330610533186,118.84460461795385
17,2017-05-01,463.0,6.0,0.012958963282937365,1.816895350097091,18.0,2.0,0.1111111111111111,1.8230452473763,0.0,0.0,0.0,0.0,78.0,2.0,0.02564102564102564,1.4979237118257183,559.0,0.8282647584973166,0.03220035778175313,0.0,0.13953488372093023,1.7725857085333319,1.2844660773247774,151.1062385922391,167.90550924260305
18,2017-06-01,394.0,4.0,0.01015228426395939,1.4233884045599883,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,1.0,0.011363636363636364,0.6638525541045798,500.0,0.788,0.036,0.0,0.176,1.2384681123156767,0.521810239666142,105.57473027540975,68.2110766223022
19,2017-07-01,244.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,1.0,0.01098901098901099,0.641967305068165,351.0,0.6951566951566952,0.045584045584045586,0.0,0.25925925925925924,0.16643596798063537,0.16049182626704125,14.18803782911084,20.979504476107135
20,2017-08-01,359.0,5.0,0.013927576601671309,1.952698577286335,23.0,1.0,0.043478260869565216,0.7133655315820304,0.0,0.0,0.0,0.0,120.0,1.0,0.008333333333333333,0.48682520634335846,502.0,0.7151394422310757,0.045816733067729085,0.0,0.23904382470119523,1.5455084088314421,0.788222328802931,131.74875620791695,103.03648640506893
21,2017-09-01,392.0,6.0,0.015306122448979591,2.145975885446309,17.0,1.0,0.058823529411764705,0.9651416015521588,0.0,0.0,0.0,0.0,76.0,1.0,0.013157894736842105,0.7686713784368817,485.0,0.8082474226804124,0.03505154639175258,0.0,0.15670103092783505,1.8887607816134904,0.9699472163588374,161.00972490988877,126.79157836567516
22,2017-10-01,144.0,3.0,0.020833333333333332,2.920911621857476,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,1.0,0.013333333333333334,0.7789203301493736,242.0,0.5950413223140496,0.09504132231404959,0.0,0.30991735537190085,1.9794640425978496,0.9249579880017124,168.74183542472372,120.91058280566176
23,2017-11-01,276.0,0.0,0.0,0.0,36.0,3.0,0.08333333333333333,1.367283935532225,0.0,0.0,0.0,0.0,95.0,1.0,0.010526315789473684,0.6149371027495054,407.0,0.6781326781326781,0.08845208845208845,0.0,0.2334152334152334,0.2644748069787791,0.4955552595704326,22.54547867140287,64.77902350626663
24,2017-12-01,163.0,4.0,0.024539877300613498,3.440583014703285,16.0,1.0,0.0625,1.0254629516491687,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,232.0,0.7025862068965517,0.06896551724137931,0.0,0.22844827586206898,2.4880277526854404,1.1165114915881134,212.09497143721842,145.95047224662446
25,2018-01-01,125.0,2.0,0.016,2.243260125586542,26.0,1.0,0.038461538461538464,0.6310541240917962,0.0,0.0,0.0,0.0,62.0,1.0,0.016129032258064516,0.9422423348581132,213.0,0.5868544600938967,0.12206572769953052,0.0,0.29107981220657275,1.6677650126098944,0.9541391461341128,142.17067005450278,124.72514615070115
26,2018-02-01,228.0,2.0,0.008771929824561403,1.2298575249926216,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,293.0,0.7781569965870307,0.05802047781569966,0.0,0.16382252559726962,0.9570222378782175,0.3074643812481554,81.58253218376618,40.19176871915163
27,2018-03-01,260.0,4.0,0.015384615384615385,2.1569808899870595,18.0,2.0,0.1111111111111111,1.8230452473763,0.0,0.0,0.0,0.0,74.0,1.0,0.013513513513513514,0.7894462805567976,352.0,0.7386363636363636,0.05113636363636364,0.0,0.21022727272727273,1.8524115642346928,1.1923681044800392,157.91109137840985,155.86645480302272
28,2018-04-01,176.0,3.0,0.017045454545454544,2.389836781519753,21.0,1.0,0.047619047619047616,0.7813051060184143,0.0,0.0,0.0,0.0,74.0,1.0,0.013513513513513514,0.7894462805567976,271.0,0.6494464944649446,0.07749077490774908,0.0,0.2730627306273063,1.828183415258547,0.9901470420237413,155.84573316063035,129.43210120606147
