,date,news_count_fiji_sun,epu_count_fiji_sun,ratio_fiji_sun,z_score_fiji_sun,news_count_fiji_abc,epu_count_fiji_abc,ratio_fiji_abc,z_score_fiji_abc,news_count_fiji_rnz,epu_count_fiji_rnz,ratio_fiji_rnz,z_score_fiji_rnz,news_count_total,weight_sun,weight_abc,weight_rnz,z_score_weighted,z_score_unweighted,epu_score_weighted,epu_score_unweighted
0,2016-01-01,9.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,93.0,0.0967741935483871,0.021505376344086023,0.8817204301075269,0.0,0.0,0.0,0.0
1,2016-02-01,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,133.0,2.0,0.015037593984962405,1.109458027960077,158.0,0.0,0.15822784810126583,0.8417721518987342,0.93391087163728,0.369819342653359,173.2556597083608,126.49322623071417
2,2016-03-01,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,125.0,1.0,0.008,0.590231670874761,148.0,0.0,0.1554054054054054,0.8445945945945946,0.498506478779359,0.196743890291587,92.4810616010845,67.29439635473996
3,2016-04-01,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,91.0,1.0,0.01098901098901099,0.8107577896631333,99.0,0.0,0.08080808080808081,0.9191919191919192,0.7452420086802538,0.2702525965543778,138.2545163329344,92.4373576301373
4,2016-05-01,1.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,73.0,1.0,0.0136986301369863,1.0106706693060974,92.0,0.010869565217391304,0.1956521739130435,0.7934782608695652,0.8019452049928816,0.3368902231020325,148.7738817060924,115.2301307444177
5,2016-06-01,0.0,0.0,0.0,0.0,14.0,1.0,0.07142857142857142,0.488290439668616,74.0,0.0,0.0,0.0,88.0,0.0,0.1590909090909091,0.8409090909090909,0.07768256994727982,0.16276347988953868,14.411380478376254,55.67171672538452
6,2016-07-01,0.0,0.0,0.0,0.0,7.0,2.0,0.2857142857142857,1.953161758674464,57.0,0.0,0.0,0.0,64.0,0.0,0.109375,0.890625,0.21362706735501952,0.6510539195581547,39.6312963155347,222.68686690153808
7,2016-08-01,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,69.0,1.0,0.014492753623188406,1.0692602733238423,75.0,0.0,0.08,0.92,0.9837194514579349,0.3564200911079474,182.4959615594734,121.91013832380425
8,2016-09-01,0.0,0.0,0.0,0.0,6.0,1.0,0.16666666666666666,1.1393443592267707,129.0,2.0,0.015503875968992248,1.1438598272766685,135.0,0.0,0.044444444444444446,0.9555555555555556,1.1436591398077842,0.761068062167813,212.16737567420827,260.316169170742
9,2016-10-01,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,113.0,0.0,0.0,0.0,115.0,0.0,0.017391304347826087,0.9826086956521739,0.0,0.0,0.0,0.0
10,2016-11-01,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,102.0,1.0,0.00980392156862745,0.723323126072011,106.0,0.0,0.03773584905660377,0.9622641509433962,0.6960279137674068,0.24110770869067033,129.12450110340097,82.46862298374994
11,2016-12-01,0.0,0.0,0.0,0.0,4.0,1.0,0.25,1.7090165388401561,111.0,0.0,0.0,0.0,115.0,0.0,0.034782608695652174,0.9652173913043478,0.059444053524874994,0.5696721796133853,11.027838974757481,194.8510085388458
12,2017-01-01,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,73.0,0.0,0.0273972602739726,0.9726027397260274,0.0,0.0,0.0,0.0
