,date,news_count_daily_posts,epu_count_daily_posts,ratio_daily_posts,z_score_daily_posts,news_count_vanuatu_abc,epu_count_vanuatu_abc,ratio_vanuatu_abc,z_score_vanuatu_abc,news_count_vbr,epu_count_vbr,ratio_vbr,z_score_vbr,news_count_total,weight_posts,weight_abc,weight_vbr,z_score_weighted,z_score_unweighted,epu_score_weighted,epu_score_unweighted
0,2015-01-01,201,6.0,0.029850746268656716,2.69600966927478,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.0,0.9901477832512315,0.009852216748768473,0.0,2.6694479976563095,0.89866988975826,108.4171469536139,99.34432529278044
1,2015-02-01,254,5.0,0.01968503937007874,1.7778803921398647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254.0,1.0,0.0,0.0,1.7778803921398647,0.5926267973799549,72.20695810887014,65.51249797850679
2,2015-03-01,299,4.0,0.013377926421404682,1.208245136062945,59.0,4.0,0.06779661016949153,0.33341480166817145,0.0,0.0,0.0,0.0,358.0,0.835195530726257,0.164804469273743,0.0,1.0640691870984431,0.5138866459103721,43.216180097064914,56.80809237824656
3,2015-04-01,274,4.0,0.014598540145985401,1.3184864805942356,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.0,0.9614035087719298,0.03859649122807018,0.0,1.267597528711651,0.4394954935314119,51.48229434288566,48.584451055593355
4,2015-05-01,263,13.0,0.049429657794676805,4.464304984673638,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.0,0.9813432835820896,0.018656716417910446,0.0,4.381015712571518,1.4881016615578793,177.93087736976807,164.50362610268397
5,2015-06-01,285,15.0,0.05263157894736842,4.753490732668691,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289.0,0.986159169550173,0.01384083044982699,0.0,4.6876984733930005,1.5844969108895637,190.38651238394138,175.15973143727078
6,2015-07-01,304,6.0,0.019736842105263157,1.782559024750759,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313.0,0.9712460063897763,0.02875399361022364,0.0,1.731303333943229,0.5941863415835863,70.31527422231187,65.68489928897652
7,2015-08-01,245,8.0,0.0326530612244898,2.949104454553637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.0,1.0,0.0,0.0,2.949104454553637,0.9830348181845457,119.77513377732583,108.67052725904146
8,2015-09-01,289,6.0,0.020761245674740483,1.8750793893572,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.0,0.9796610169491525,0.020338983050847456,0.0,1.8369421814380704,0.6250264631190666,74.60569773418176,69.0941501171241
9,2015-10-01,265,10.0,0.03773584905660377,3.4081631668190613,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.0,0.9671532846715328,0.032846715328467155,0.0,3.2962162014855885,1.136054388939687,133.872754450022,125.58622253992996
