,date,news_count_sibc,epu_count_sibc,ratio_sibc,z_score_sibc,news_count_solomon_islands_abc,epu_count_solomon_islands_abc,ratio_solomon_islands_abc,z_score_solomon_islands_abc,news_count_solomon_islands_rnz,epu_count_solomon_islands_rnz,ratio_solomon_islands_rnz,z_score_solomon_islands_rnz,news_count_solomon_stars,epu_count_solomon_stars,ratio_solomon_stars,z_score_solomon_stars,news_count_solomon_times,epu_count_solomon_times,ratio_solomon_times,z_score_solomon_times,news_count_island_sun,epu_count_island_sun,ratio_island_sun,z_score_island_sun,news_count_total,weight_sibc,weight_abc,weight_rnz,weight_stars,weight_times,weight_sun,z_score_weighted,z_score_unweighted,epu_score_weighted,epu_score_unweighted
0,2015-01-01,228.0,1.0,0.0043859649122807015,0.19950131964643325,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279.0,1.0,0.0035842293906810036,0.22082387470017575,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,518.0,0.44015444015444016,0.013513513513513514,0.0,0.5386100386100386,0.007722007722007722,0.0,0.20674934733732786,0.07005419905776816,30.10850456806942,14.068429326659361
1,2015-02-01,211.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,257.0,4.0,0.01556420233463035,0.958908343056016,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,495.0,0.4262626262626263,0.00808080808080808,0.022222222222222223,0.5191919191919192,0.024242424242424242,0.0,0.49785746296039624,0.15981805717600267,72.50201217483696,32.0949932016285
2,2015-03-01,266.0,1.0,0.0037593984962406013,0.1710011311255142,16.0,2.0,0.125,0.9658976801660251,32.0,0.0,0.0,0.0,108.0,1.0,0.009259259259259259,0.5704616763087873,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,426.0,0.6244131455399061,0.03755868544600939,0.07511737089201878,0.2535211267605634,0.009389671361502348,0.0,0.28767728827087374,0.2845600812667211,41.89388290499148,57.14594480179688
3,2015-04-01,225.0,3.0,0.013333333333333334,0.6064840117251571,0.0,0.0,0.0,0.0,27.0,1.0,0.037037037037037035,2.86209763142841,274.0,7.0,0.025547445255474453,1.5739745521512527,13.0,1.0,0.07692307692307693,1.082748033391511,0.0,0.0,0.0,0.0,539.0,0.4174397031539889,0.0,0.05009276437847866,0.5083487940630798,0.02411873840445269,0.0,1.2227834701489058,1.020884038116055,178.07157396569482,205.0160466342202
4,2015-05-01,213.0,1.0,0.004694835680751174,0.21355070835392856,8.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,186.0,3.0,0.016129032258064516,0.9937074361507908,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,459.0,0.46405228758169936,0.017429193899782137,0.05664488017429194,0.40522875816993464,0.05664488017429194,0.0,0.5017775250619474,0.20120969075078657,73.0728831798085,40.407346772063846
5,2015-06-01,207.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,143.0,1.0,0.006993006993006993,0.4308381891003429,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,415.0,0.4987951807228916,0.007228915662650603,0.12289156626506025,0.344578313253012,0.02650602409638554,0.0,0.1484574964851784,0.07180636485005715,21.619575919604998,14.420302889542873
6,2015-07-01,217.0,1.0,0.004608294930875576,0.20961428976675936,7.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,150.0,4.0,0.02666666666666667,1.6429296277693077,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,426.0,0.5093896713615024,0.01643192488262911,0.11737089201877934,0.352112676056338,0.004694835680751174,0.0,0.6852717019830585,0.30875731958934455,99.79478259663892,62.005284310645536
7,2015-08-01,277.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,398.0,9.0,0.022613065326633167,1.3931878124928174,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,718.0,0.38579387186629527,0.001392757660167131,0.04874651810584958,0.5543175487465181,0.009749303621169917,0.0,0.7722684531645422,0.2321979687488029,112.46394994390623,46.63047693176301
8,2015-09-01,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,162.0,2.0,0.012345679012345678,0.7606155684117164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,0.41875,0.0,0.075,0.50625,0.0,0.0,0.3850616315084314,0.12676926140195274,56.07577504147546,25.4580655951189
9,2015-10-01,60.0,1.0,0.016666666666666666,0.7581050146564463,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,193.0,2.0,0.010362694300518135,0.6384441558689019,9.0,1.0,0.1111111111111111,1.5639693815655156,0.0,0.0,0.0,0.0,281.0,0.21352313167259787,0.0,0.06761565836298933,0.6868327402135231,0.03202846975088968,0.0,0.6504688519436814,0.4934197586818107,94.72651136440741,99.08957773777625
