,title,date,url,news
0,Samoan village told to follow court order relating to land dispute,2023-12-27,https://www.rnz.co.nz/international/pacific-news/505593/samoan-village-told-to-follow-court-order-relating-to-land-dispute,True
1,News in Samoan for 22 December 2023,2023-12-22,https://www.rnz.co.nz/international/programmes/pacificlangaugesnews/audio/2018920494/news-in-samoan-for-22-december-2023,False
2,Samoa govt presents supplementary budget,2023-12-21,https://www.rnz.co.nz/international/pacific-news/505255/samoa-govt-presents-supplementary-budget,True
3,News in Samoan for 21 December 2023,2023-12-21,https://www.rnz.co.nz/international/programmes/pacificlangaugesnews/audio/2018920338/news-in-samoan-for-21-december-2023,False
4,Samoa PM 'recovering well' after operation,2023-12-20,https://www.rnz.co.nz/international/pacific-news/505159/samoa-pm-recovering-well-after-operation,True
5,News in Samoan for 20 December 2023,2023-12-20,https://www.rnz.co.nz/international/programmes/pacificlangaugesnews/audio/2018920185/news-in-samoan-for-20-december-2023,False
6,News in Samoan for 19 December 2023,2023-12-19,https://www.rnz.co.nz/international/programmes/pacificlangaugesnews/audio/2018920036/news-in-samoan-for-19-december-2023,False
7,News in Samoan for 18 December 2023,2023-12-18,https://www.rnz.co.nz/international/programmes/pacificlangaugesnews/audio/2018919913/news-in-samoan-for-18-december-2023,False
8,Samoa Prime Minister Fiame to undergo surgery,2023-12-15,https://www.rnz.co.nz/international/pacific-news/504792/samoa-prime-minister-fiame-to-undergo-surgery,True
9,News in Samoan for 15 December 2023,2023-12-15,https://www.rnz.co.nz/international/programmes/pacificlangaugesnews/audio/2018919599/news-in-samoan-for-15-december-2023,False
10,News in Samoan for 14 December 2023,2023-12-14,https://www.rnz.co.nz/international/programmes/pacificlangaugesnews/audio/2018919436/news-in-samoan-for-14-december-2023,False
11,News in Samoan for 13 December 2023,2023-12-13,https://www.rnz.co.nz/international/programmes/pacificlangaugesnews/audio/2018919253/news-in-samoan-for-13-december-2023,False
12,Iconic Samoan building in Central Auckland to mark 45 years,2023-12-13,https://www.rnz.co.nz/international/programmes/datelinepacific/audio/2018919243/iconic-samoan-building-in-central-auckland-to-mark-45-years,False
13,News in Samoan for 12 December 2023,2023-12-12,https://www.rnz.co.nz/international/programmes/pacificlangaugesnews/audio/2018919077/news-in-samoan-for-12-december-2023,False
14,News in Samoan for 11 December 2023,2023-12-11,https://www.rnz.co.nz/international/programmes/pacificlangaugesnews/audio/2018918932/news-in-samoan-for-11-december-2023,False
15,News in Samoan for 8 December 2023,2023-12-08,https://www.rnz.co.nz/international/programmes/pacificlangaugesnews/audio/2018918613/news-in-samoan-for-8-december-2023,False
16,Reports of covid border restrictions for Samoa 'incorrect',2023-12-08,https://www.rnz.co.nz/international/programmes/datelinepacific/audio/2018918612/reports-of-covid-border-restrictions-for-samoa-incorrect,False
17,Samoa’s health boss says reports about Covid-19 border restrictions 'not correct',2023-12-07,https://www.rnz.co.nz/international/pacific-news/504150/samoa-s-health-boss-says-reports-about-covid-19-border-restrictions-not-correct,True
18,News in Samoan for 7 December 2023,2023-12-07,https://www.rnz.co.nz/international/programmes/pacificlangaugesnews/audio/2018918441/news-in-samoan-for-7-december-2023,False
19,News in Samoan for 6 December 2023,2023-12-06,https://www.rnz.co.nz/international/programmes/pacificlangaugesnews/audio/2018918277/news-in-samoan-for-6-december-2023,False
20,News in Samoan for 5 December 2023,2023-12-05,https://www.rnz.co.nz/international/programmes/pacificlangaugesnews/audio/2018918110/news-in-samoan-for-5-december-2023,False
21,News in Samoan 4 December 2023,2023-12-04,https://www.rnz.co.nz/international/programmes/pacificlangaugesnews/audio/2018917938/news-in-samoan-4-december-2023,False
22,News in Samoan for 1 December 2023,2023-12-01,https://www.rnz.co.nz/international/programmes/pacificlangaugesnews/audio/2018917600/news-in-samoan-for-1-december-2023,False
23,News in Samoan for 30 November 2023,2023-11-30,https://www.rnz.co.nz/international/programmes/pacificlangaugesnews/audio/2018917436/news-in-samoan-for-30-november-2023,False
24,News in Samoan for 29 November 2023,2023-11-29,https://www.rnz.co.nz/international/programmes/pacificlangaugesnews/audio/2018917278/news-in-samoan-for-29-november-2023,False
25,News in Samoan for 28 November 2023,2023-11-28,https://www.rnz.co.nz/international/programmes/pacificlangaugesnews/audio/2018917118/news-in-samoan-for-28-november-2023,False
26,News in Samoan for 27 November 2023,2023-11-27,https://www.rnz.co.nz/international/programmes/pacificlangaugesnews/audio/2018916968/news-in-samoan-for-27-november-2023,False
27,News in Samoan for 24 November 2023,2023-11-24,https://www.rnz.co.nz/international/programmes/pacificlangaugesnews/audio/2018916658/news-in-samoan-for-24-november-2023,False
28,News in Samoan for 23 November 2023,2023-11-23,https://www.rnz.co.nz/international/programmes/pacificlangaugesnews/audio/2018916485/news-in-samoan-for-23-november-2023,False
29,News in Samoan for 22 November 2023,2023-11-22,https://www.rnz.co.nz/international/programmes/pacificlangaugesnews/audio/2018916317/news-in-samoan-for-22-november-2023,False
30,News in Samoan for 21 November 2023,2023-11-21,https://www.rnz.co.nz/international/programmes/pacificlangaugesnews/audio/2018916157/news-in-samoan-for-21-november-2023,False
31,News in Samoan for 20 November 2023,2023-11-20,https://www.rnz.co.nz/international/programmes/pacificlangaugesnews/audio/2018916009/news-in-samoan-for-20-november-2023,False
32,News in Samoan for 17 November 2023,2023-11-17,https://www.rnz.co.nz/international/programmes/pacificlangaugesnews/audio/2018915690/news-in-samoan-for-17-november-2023,False
33,News in Samoan for 15 November 2023,2023-11-15,https://www.rnz.co.nz/international/programmes/pacificlangaugesnews/audio/2018915357/news-in-samoan-for-15-november-2023,False
34,News in Samoan for 14 November 2023,2023-11-14,https://www.rnz.co.nz/international/programmes/pacificlangaugesnews/audio/2018915195/news-in-samoan-for-14-november-2023,False
35,Samoan journalist wins prestigious US media excellence award,2023-11-13,https://www.rnz.co.nz/international/pacific-news/502295/samoan-journalist-wins-prestigious-us-media-excellence-award,True
36,News in Samoan for 13 Nov 2023,2023-11-13,https://www.rnz.co.nz/international/programmes/pacificlangaugesnews/audio/2018915043/news-in-samoan-for-13-nov-2023,False
37,News in Samoan for 10 November 2023,2023-11-10,https://www.rnz.co.nz/international/programmes/pacificlangaugesnews/audio/2018914722/news-in-samoan-for-10-november-2023,False
38,News in Samoan for 9 November 2023,2023-11-09,https://www.rnz.co.nz/international/programmes/pacificlangaugesnews/audio/2018914560/news-in-samoan-for-9-november-2023,False
