date,ym,vanuatu_vbr_body_count,vanuatu_vbr_epu_count,vanuatu_vbr_ratio,vanuatu_rnz_body_count,vanuatu_rnz_epu_count,vanuatu_rnz_ratio,vanuatu_daily_post_body_count,vanuatu_daily_post_epu_count,vanuatu_daily_post_ratio,vanuatu_abc_au_body_count,vanuatu_abc_au_epu_count,vanuatu_abc_au_ratio,news_total,vanuatu_vbr_weights,vanuatu_rnz_weights,vanuatu_daily_post_weights,vanuatu_abc_au_weights,vanuatu_vbr_z_score,vanuatu_rnz_z_score,vanuatu_daily_post_z_score,vanuatu_abc_au_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted,epu_inflation
2015-01-01,2015-1,0.0,0.0,0.0,0.0,0.0,0.0,196,3.0,0.015306122448979591,2.0,0.0,0.0,198.0,0.0,0.0,0.98989898989899,0.010101010101010102,0.0,0.0,1.4426867908689047,0.0,0.3606716977172262,1.4281141970217441,122.25600642858016,65.54430232014785,122.25600642858016
2015-02-01,2015-2,0.0,0.0,0.0,17.0,0.0,0.0,256,1.0,0.00390625,0.0,0.0,0.0,273.0,0.0,0.06227106227106227,0.9377289377289377,0.0,0.0,0.0,0.36818569141966845,0.0,0.09204642285491711,0.34525837730196013,29.556397158557843,16.72745215462107,29.556397158557843
2015-03-01,2015-3,0.0,0.0,0.0,152.0,1.0,0.006578947368421052,302,2.0,0.006622516556291391,59.0,3.0,0.05084745762711865,513.0,0.0,0.2962962962962963,0.5886939571150097,0.11500974658869395,0.0,0.5765188741144321,0.6242088543273848,0.48243509347778407,0.4207907054799003,0.5937731255116047,50.83090077883989,76.46963537212861,50.83090077883989
2015-04-01,2015-4,0.0,0.0,0.0,95.0,0.0,0.0,277,2.0,0.007220216606498195,11.0,0.0,0.0,383.0,0.0,0.24804177545691905,0.7232375979112271,0.028720626631853787,0.0,0.0,0.6805453935266074,0.0,0.17013634838165184,0.4921960156837343,42.13522936964121,30.918611924786955,42.13522936964121
2015-05-01,2015-5,0.0,0.0,0.0,47.0,0.0,0.0,271,4.0,0.014760147601476014,5.0,0.0,0.0,323.0,0.0,0.14551083591331268,0.8390092879256966,0.015479876160990712,0.0,0.0,1.3912256384270865,0.0,0.3478064096067716,1.1672512322406825,99.92441392305004,63.206313676501736,99.92441392305004
2015-06-01,2015-6,0.0,0.0,0.0,69.0,0.0,0.0,274,8.0,0.029197080291970802,4.0,0.0,0.0,347.0,0.0,0.1988472622478386,0.7896253602305475,0.011527377521613832,0.0,0.0,2.75198648185212,0.0,0.68799662046303,2.1730383170820775,186.02643053109605,125.02854749147424,186.02643053109605
2015-07-01,2015-7,0.0,0.0,0.0,41.0,0.0,0.0,305,1.0,0.003278688524590164,9.0,0.0,0.0,355.0,0.0,0.11549295774647887,0.8591549295774648,0.02535211267605634,0.0,0.0,0.3090345475522463,0.0,0.07725863688806157,0.26550855493925385,22.729285702214906,14.040090988796699,22.729285702214906
2015-08-01,2015-8,0.0,0.0,0.0,35.0,0.0,0.0,245,2.0,0.00816326530612245,0.0,0.0,0.0,280.0,0.0,0.125,0.875,0.0,0.0,0.0,0.7694329551300827,0.0,0.19235823878252067,0.6732538357388224,57.6349744591878,34.956961237412195,57.6349744591878
2015-09-01,2015-9,0.0,0.0,0.0,48.0,0.0,0.0,291,2.0,0.006872852233676976,6.0,0.0,0.0,345.0,0.0,0.1391304347826087,0.8434782608695652,0.017391304347826087,0.0,0.0,0.6478043780304819,0.0,0.16195109450762046,0.5464089101648413,46.77621115528285,29.431118567580707,46.77621115528285
2015-10-01,2015-10,0.0,0.0,0.0,76.0,1.0,0.013157894736842105,267,6.0,0.02247191011235955,9.0,0.0,0.0,352.0,0.0,0.2159090909090909,0.7585227272727273,0.02556818181818182,0.0,1.1530377482288643,2.1181019551333735,0.0,0.8177849258405594,1.8555798036534217,158.8498853083961,148.61477280143473,158.8498853083961
2015-11-01,2015-11,0.0,0.0,0.0,58.0,0.0,0.0,268,2.0,0.007462686567164179,5.0,0.0,0.0,331.0,0.0,0.17522658610271905,0.8096676737160121,0.015105740181268883,0.0,0.0,0.7033995298763814,0.0,0.17584988246909536,0.5695198610479463,48.75466117393529,31.956923519276067,48.75466117393529
2015-12-01,2015-12,0.0,0.0,0.0,38.0,0.0,0.0,240,1.0,0.004166666666666667,3.0,0.0,0.0,281.0,0.0,0.13523131672597866,0.8540925266903915,0.010676156583629894,0.0,0.0,0.3927314041809796,0.0,0.0981828510452449,0.33542895730759825,28.71493389425726,17.842615631595805,28.71493389425726
2016-01-01,2016-1,0.0,0.0,0.0,97.0,0.0,0.0,238,1.0,0.004201680672268907,9.0,0.0,0.0,344.0,0.0,0.2819767441860465,0.6918604651162791,0.02616279069767442,0.0,0.0,0.3960316680816601,0.0,0.09900791702041503,0.2739986540797532,23.456094256646193,17.992553578079804,23.456094256646193
