,date,ym,daily_posts_news_count,daily_posts_epu_count,daily_posts_ratio,vanuatu_abc_news_count,vanuatu_abc_epu_count,vanuatu_abc_ratio,vbr_news_count,vbr_epu_count,vbr_ratio,news_total,daily_posts_weights,vanuatu_abc_weights,vbr_weights,daily_posts_z_score,vanuatu_abc_z_score,vbr_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted
0,2015-01-01,2015-1,201,3,0.014925373134328358,2.0,0.0,0.0,0.0,0.0,0.0,203.0,0.9901477832512315,0.009852216748768473,0.0,1.1842653971274466,0.0,0.0,0.39475513237581555,1.1725977577468807,79.91824818326617,58.96466857437233
1,2015-02-01,2015-2,254,2,0.007874015748031496,0.0,0.0,0.0,0.0,0.0,0.0,254.0,1.0,0.0,0.0,0.6247699339176292,0.0,0.0,0.20825664463920976,0.6247699339176292,42.58111386142528,31.10734483844839
2,2015-03-01,2015-3,299,1,0.0033444816053511705,59.0,2.0,0.03389830508474576,0.0,0.0,0.0,358.0,0.835195530726257,0.164804469273743,0.0,0.26537050704862514,0.20972985642195144,0.0,0.15836678782352553,0.2562006791520504,17.461324078034533,23.655284988953866
3,2015-04-01,2015-4,274,1,0.0036496350364963502,11.0,0.0,0.0,0.0,0.0,0.0,285.0,0.9614035087719298,0.03859649122807018,0.0,0.2895831445530617,0.0,0.0,0.09652771485102057,0.2784062512545225,18.974741966319336,14.418367863076442
4,2015-05-01,2015-5,263,7,0.026615969581749048,5.0,0.0,0.0,0.0,0.0,0.0,268.0,0.9813432835820896,0.018656716417910446,0.0,2.111864909706359,0.0,0.0,0.7039549699021196,2.0724644449730314,141.24854560748906,105.1499222866183
5,2015-06-01,2015-6,285,10,0.03508771929824561,4.0,0.0,0.0,0.0,0.0,0.0,289.0,0.986159169550173,0.01384083044982699,0.0,2.784062512545225,0.0,0.0,0.928020837515075,2.7455287753473674,187.1211577993429,138.61869454326126
6,2015-07-01,2015-7,304,2,0.006578947368421052,9.0,0.0,0.0,0.0,0.0,0.0,313.0,0.9712460063897763,0.02875399361022364,0.0,0.5220117211022297,0.0,0.0,0.17400390703407656,0.5070017994091943,34.55464191949527,25.991005226861482
7,2015-08-01,2015-8,245,6,0.024489795918367346,0.0,0.0,0.0,0.0,0.0,0.0,245.0,1.0,0.0,0.0,1.9431619985519735,0.0,0.0,0.6477206661839912,1.9431619985519735,132.43595413226964,96.75019088529663
8,2015-09-01,2015-9,289,3,0.010380622837370242,6.0,0.0,0.0,0.0,0.0,0.0,295.0,0.9796610169491525,0.020338983050847456,0.0,0.8236586326042102,0.0,0.0,0.27455287753473673,0.806906253635989,54.99459112272214,41.01002900847348
9,2015-10-01,2015-10,265,6,0.022641509433962263,9.0,0.0,0.0,0.0,0.0,0.0,274.0,0.9671532846715328,0.032846715328467155,0.0,1.7965082628122018,0.0,0.0,0.5988360876040673,1.7374988673183702,118.41901008177393,89.44828968640631
