Day of Date,Destination Country,Destination Iso Country,Destination Region,Passenger,Type,fl_wow_change,fl_yoy_change,Flights Number 7Days,Lastwk Flights Number 7Days,Lastyr Flights Number 7Days,ask_wow_change,ask_yoy_change,Av Seat Km,Av Seat Km 7Days,Date,Destination Iso3,Flights Number,Lastwk Av Seat Km 7Days,Lastwk Passengers Number 7Days,Lastwk Payload 7Days,Lastyr Av Seat Km 7Days,Lastyr Passengers Number 7Days,Lastyr Payload 7Days,Passengers Number,Passengers Number 7Days,Payload,Payload 7Days,pl_wow_change,pl_yoy_change,psg_wow_change,psg_yoy_change
14-Jan-20,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,0.00%,-3.45%,28,28,29,0.09%,4.80%,1177487.412,7410712.74,1/14/20,VUT,4,7404398.359,3882,12108,7070975.322,4086,11436,524,3894,2298,10598,-12.47%,-7.33%,0.31%,-4.70%
16-Jan-20,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,3.57%,0.00%,29,28,29,1.29%,6.16%,1029117.644,7500166.467,1/16/20,VUT,3,7404398.359,3882,12108,7064660.941,4074,12946,408,4064,0,10598,-12.47%,-18.14%,4.69%,-0.25%
30-Jan-20,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,-7.14%,-13.33%,26,28,30,-2.85%,-2.57%,1029117.644,7136061.77,1/30/20,VUT,3,7345651.004,4072,13057,7324030.601,4250,11436,408,3672,0,11436,-12.41%,0.00%,-9.82%,-13.60%
9-Feb-20,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,-54.17%,-54.17%,11,24,24,-70.14%,-69.31%,156965.1881,1781784.736,2/9/20,VUT,2,5967667.126,3386,13057,5805777.094,3356,9926,226,1412,0,5523,-57.70%,-44.36%,-58.30%,-57.93%
5-Mar-20,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,-5.88%,-33.33%,16,17,24,-1.38%,-9.30%,541516.0003,5259909.661,3/5/20,VUT,1,5333735.503,2564,4990,5799462.713,3344,11436,170,2496,0,4990,0.00%,-56.37%,-2.65%,-25.36%
22-Jul-20,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,,-92.00%,2,,25,,-98.17%,65794.65514,131589.3103,7/22/20,VUT,1,,,,7196518.226,3566,7286,68,136,0,0,,-100.00%,,-96.19%
8-Oct-20,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,66.67%,-80.77%,5,3,26,17.49%,-86.90%,89453.72717,922340.4723,10/8/20,VUT,1,785018.0246,486,1510,7042777.199,3612,8416,170,646,0,0,-100.00%,-100.00%,32.92%,-82.12%
2-Dec-20,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,25.00%,-80.00%,5,4,25,32.02%,-81.32%,379419.485,1253456.678,12/2/20,VUT,1,949432.3891,674,877,6709538.851,3436,8416,170,748,0,0,-100.00%,-100.00%,10.98%,-78.23%
15-Jan-21,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,25.00%,-82.76%,5,4,29,-36.93%,-82.18%,379419.485,1258690.88,1/15/21,VUT,1,1995667.979,680,,7064660.941,4074,12946,170,850,0,0,,-100.00%,25.00%,-79.14%
18-Jan-21,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,50.00%,-80.00%,6,4,30,-40.28%,-82.15%,164486.6379,1337162.889,1/18/21,VUT,1,2239073.92,680,,7492782.311,4256,11436,170,1020,0,0,,-100.00%,50.00%,-76.03%
