Day of Date,Destination Country,Destination Iso Country,Destination Region,Passenger,Type,fl_wow_change,fl_yoy_change,Flights Number 7Days,Lastwk Flights Number 7Days,Lastyr Flights Number 7Days,ask_wow_change,ask_yoy_change,Av Seat Km,Av Seat Km 7Days,Date,Destination Iso3,Flights Number,Lastwk Av Seat Km 7Days,Lastwk Passengers Number 7Days,Lastwk Payload 7Days,Lastyr Av Seat Km 7Days,Lastyr Passengers Number 7Days,Lastyr Payload 7Days,Passengers Number,Passengers Number 7Days,Payload,Payload 7Days,pl_wow_change,pl_yoy_change,psg_wow_change,psg_yoy_change
28-Jan-21,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,0.00%,-86.67%,4,4,30,-41.84%,-88.38%,306892.1789,850798.3018,1/28/21,VUT,2,1462973.92,680,,7324030.601,4250,11436,340,680,0,0,,-100.00%,0.00%,-84.00%
8-Feb-21,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,-33.33%,-83.33%,4,6,24,-18.65%,-81.26%,164486.6379,1087812.246,2/8/21,VUT,1,1337162.889,1020,,5805777.094,3356,9926,170,680,0,0,,-100.00%,-33.33%,-79.74%
4-Mar-21,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,0.00%,-78.26%,5,5,23,-8.69%,-79.45%,217438.4517,1123370.175,3/4/21,VUT,1,1230217.787,850,,5465698.548,3174,11436,170,722,0,3136,,-72.58%,-15.06%,-77.25%
30-Mar-21,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,100.00%,-75.00%,6,3,24,11.76%,-77.59%,65794.65514,1299505.057,3/30/21,VUT,1,1162738.736,510,,5799462.713,3344,11436,68,818,0,0,,-100.00%,60.39%,-75.54%
6-Apr-21,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,-33.33%,-85.19%,4,6,27,5.98%,-79.47%,65794.65514,1377193.411,4/6/21,VUT,1,1299505.057,818,,6709613.893,3776,8416,68,578,0,0,,-100.00%,-29.34%,-84.69%
23-Jun-21,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,20.00%,-76.00%,6,5,25,-3.37%,-76.06%,586293.6269,1641792.44,6/23/21,VUT,2,1699071.361,748,,6858594.04,3468,5280,340,920,0,0,,-100.00%,22.99%,-73.47%
27-Oct-21,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,50.00%,-76.92%,6,4,26,37.04%,-78.17%,164486.6379,1542494.825,10/27/21,VUT,1,1125610.028,680,,7064645.331,3584,10400,170,920,0,0,,-100.00%,35.29%,-74.33%
6-Nov-21,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,50.00%,-76.00%,6,4,25,72.69%,-78.04%,379419.485,1499475.897,11/6/21,VUT,1,868289.6773,680,,6829247.862,3436,8416,170,920,0,0,,-100.00%,35.29%,-73.22%
15-Nov-21,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,-14.29%,-77.78%,6,7,27,-0.48%,-73.43%,586293.6269,1869926.391,11/15/21,VUT,2,1878895.382,1090,,7038512.127,3776,8416,340,1020,0,0,,-100.00%,-6.42%,-72.99%
17-Nov-21,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,16.67%,-73.08%,7,6,26,50.01%,-66.89%,486364.5877,2249345.877,11/17/21,VUT,2,1499475.897,920,,6792678.197,3594,8416,340,1190,0,0,,-100.00%,29.35%,-66.89%
18-Nov-21,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,80.00%,-64.00%,9,5,25,119.85%,-52.07%,1183746.005,3215653.43,11/18/21,VUT,3,1462642.01,850,,6709538.851,3436,8416,410,1430,0,0,,-100.00%,68.24%,-58.38%
14-Dec-21,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,-22.22%,-73.08%,7,9,26,-12.83%,-62.73%,812632.5569,2579572.143,12/14/21,VUT,2,2959231.146,1530,,6920662.922,3594,9926,340,1190,0,0,,-100.00%,-22.22%,-66.89%
16-Dec-21,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,0.00%,-75.00%,7,7,28,-7.67%,-67.82%,89453.72717,2404610.193,12/16/21,VUT,1,2604235.898,1190,,7471339.722,3940,9926,170,1190,0,0,,-100.00%,0.00%,-69.80%
23-Dec-21,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,-42.86%,-84.00%,4,7,25,-29.40%,-74.33%,579829.7252,1697760.163,12/23/21,VUT,1,2404610.193,1190,,6614655.829,3430,9926,170,674,0,877,,-91.16%,-43.36%,-80.35%
29-Dec-21,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,-50.00%,-92.86%,2,4,28,-25.32%,-88.78%,321877.9498,901707.675,12/29/21,VUT,1,1207384.165,674,877,8033812.748,4150,9926,170,340,0,0,-100.00%,-100.00%,-49.55%,-91.81%
10-Jan-22,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,0.00%,-96.77%,1,1,31,31.05%,-94.61%,421806.989,421806.989,1/10/22,VUT,1,321877.9498,170,,7832335.04,4444,9926,170,170,0,0,,-100.00%,0.00%,-96.17%
21-Jan-22,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,300.00%,-86.67%,4,1,30,324.23%,-76.12%,379419.485,1789452.328,1/21/22,VUT,1,421806.989,170,,7492782.311,4256,11436,170,674,0,877,,-92.33%,296.47%,-84.16%
13-Feb-22,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,100.00%,-83.33%,4,2,24,98.00%,-74.12%,379419.485,1502523.909,2/13/22,VUT,1,758838.9701,340,,5805777.094,3356,9926,170,680,0,0,,-100.00%,100.00%,-79.74%
21-Feb-22,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,66.67%,-80.00%,5,3,25,33.37%,-76.16%,321877.9498,1441402.686,2/21/22,VUT,1,1080716.92,510,,6046776.79,3454,4646,170,850,0,0,,-100.00%,66.67%,-75.39%
1-Jul-22,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,,-88.89%,3,,27,,-89.17%,743684.9388,780518.8265,7/1/22,VUT,2,,,,7207263.837,3782,8416,340,410,0,0,,-100.00%,,-89.16%
7-Aug-22,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,0.00%,-19.23%,21,21,26,-7.01%,-26.09%,780518.8265,5205426.615,8/7/22,VUT,3,5597879.486,2862,,7042777.199,3612,8416,410,2738,0,0,,-100.00%,-4.33%,-24.20%
20-Aug-22,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,0.00%,-12.00%,22,22,25,0.00%,-22.31%,955422.4596,5491044.49,8/20/22,VUT,4,5491044.49,3004,1736,7067643.34,3646,8416,576,3004,0,1736,0.00%,-79.37%,0.00%,-17.61%
22-Aug-22,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,-4.55%,-16.00%,21,22,25,-1.25%,-25.21%,487601.6442,5286189.793,8/22/22,VUT,2,5353349.7,2978,3472,7067643.34,3646,8416,238,2762,0,0,-100.00%,-100.00%,-7.25%,-24.25%
8-Sep-22,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,0.00%,-19.23%,21,21,26,0.00%,-23.29%,578349.888,5402643.16,9/8/22,VUT,2,5402643.16,2836,1736,7042777.199,3612,8416,240,2836,0,1736,0.00%,-79.37%,0.00%,-21.48%
11-Sep-22,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,-4.76%,-23.08%,20,21,26,-1.64%,-24.54%,780518.8265,5314241.83,9/11/22,VUT,3,5402643.16,2836,1736,7042777.199,3612,8416,410,2668,0,1736,0.00%,-79.37%,-5.92%,-26.14%
14-Oct-22,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,0.00%,-23.08%,20,20,26,-12.01%,-24.13%,511260.7162,5343054.861,10/14/22,VUT,2,6072612.597,3044,3472,7042777.199,3612,8416,340,2936,0,3472,0.00%,-58.75%,-3.55%,-18.72%
18-Nov-22,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,-4.76%,-20.00%,20,21,25,-0.84%,-20.10%,511260.7162,5360814.95,11/18/22,VUT,2,5406106.782,2984,3472,6709538.851,3436,8416,340,2994,0,5208,50.00%,-38.12%,0.34%,-12.86%
15-Dec-22,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,4.17%,-10.71%,25,24,28,3.95%,-24.74%,644144.5431,5623116.119,12/15/22,VUT,3,5409401.089,3090,5208,7471339.722,3940,9926,308,3286,0,3472,-33.33%,-65.02%,6.34%,-16.60%
5-Jan-23,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,0.00%,-13.79%,25,25,29,-4.51%,-30.35%,644144.5431,5345842.858,1/5/23,VUT,3,5598598.254,3382,5171,7675369.851,4218,9926,308,3108,0,1736,-66.43%,-82.51%,-8.10%,-26.32%
20-Feb-23,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,10.00%,-12.00%,22,20,25,17.14%,-14.24%,487601.6442,5185960.684,2/20/23,VUT,2,4427121.714,2538,3472,6046776.79,3454,4646,238,2878,0,3472,0.00%,-25.27%,13.40%,-16.68%
14-Mar-23,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,150.00%,-13.04%,20,8,23,323.48%,-19.36%,104563.6797,4617053.035,3/14/23,VUT,2,1090268.928,980,5208,5725636.872,3276,11436,140,2642,0,6870,31.91%,-39.93%,169.59%,-19.35%
24-Mar-23,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,9.52%,-4.17%,23,21,24,6.05%,-4.04%,832086.2692,5565380.169,3/24/23,VUT,3,5247818.779,2910,5171,5799462.713,3344,11436,508,3048,0,3472,-32.86%,-69.64%,4.74%,-8.85%
26-Mar-23,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,15.00%,-4.17%,23,20,24,16.80%,-3.94%,780518.8265,5570840.428,3/26/23,VUT,3,4769707.311,2638,3472,5799462.713,3344,11436,410,3100,0,1699,-51.07%,-85.14%,17.51%,-7.30%
1-Apr-23,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,-13.04%,-13.04%,20,23,23,-16.85%,-15.34%,487434.3336,4632390.602,4/1/23,VUT,3,5570840.428,3100,1699,5472012.929,3186,9926,412,2576,0,1736,2.18%,-82.51%,-16.90%,-19.15%
8-Apr-23,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,-15.00%,-41.38%,17,20,29,-37.60%,-61.05%,487434.3336,2890605.378,4/8/23,VUT,3,4632390.602,2576,1736,7422271.726,4122,8416,412,2160,0,5171,197.87%,-38.56%,-16.15%,-47.60%
13-Apr-23,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,5.88%,-28.00%,18,17,25,-9.39%,-55.36%,565164.85,2967957.831,4/13/23,VUT,3,3275578.479,2260,5171,6649389.651,3603,5280,306,2150,3819,5555,7.43%,5.21%,-4.87%,-40.33%
26-Apr-23,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,-3.70%,-10.34%,26,27,29,4.72%,-7.66%,1200259.477,6853902.053,4/26/23,VUT,4,6544908.44,3704,7638,7422271.726,4122,8416,584,3716,0,3435,-55.03%,-59.18%,0.32%,-9.85%
3-May-23,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,7.69%,0.00%,28,26,28,6.30%,0.52%,1200259.477,7285708.719,5/3/23,VUT,4,6853902.053,3716,3435,7248320.964,3986,5776,584,3980,0,1699,-50.54%,-70.59%,7.10%,-0.15%
9-May-23,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,-17.86%,-14.81%,23,28,27,-27.98%,-25.29%,610624.7886,5247097.686,5/9/23,VUT,4,7285708.719,3980,1699,7023238.723,3878,8416,454,3092,1736,3435,102.18%,-59.18%,-22.31%,-20.27%
20-May-23,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,-12.50%,-25.00%,21,24,28,-6.83%,-27.45%,445214.1402,5142802.806,5/20/23,VUT,2,5519747.244,3236,5171,7089033.378,3946,8416,238,2850,0,1736,-66.43%,-79.37%,-11.93%,-27.77%
1-Jun-23,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,10.00%,-21.43%,22,20,28,6.82%,-32.67%,607310.6555,4772939.657,6/1/23,VUT,2,4468227.749,2580,1736,7089033.378,3946,8416,238,2720,0,1736,0.00%,-79.37%,5.43%,-31.07%
11-Jun-23,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,-7.41%,-10.71%,25,27,28,-7.74%,-20.71%,711528.8449,5620911.469,6/11/23,VUT,4,6092627.571,3466,1736,7089033.378,3946,8416,578,3376,1699,6907,297.87%,-17.93%,-2.60%,-14.45%
1-Jul-23,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,8.00%,0.00%,27,25,27,12.20%,-10.22%,1237093.365,6470534.399,7/1/23,VUT,5,5767056.504,3282,5208,7207263.837,3782,8416,654,3530,0,5208,0.00%,-38.12%,7.56%,-6.66%
2-Jul-23,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,3.85%,0.00%,27,26,27,6.07%,-9.77%,857673.8799,6470534.399,7/2/23,VUT,4,6100294.852,3458,5208,7171450.445,3754,7578,484,3530,0,5208,0.00%,-31.27%,2.08%,-5.97%
3-Jul-23,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,3.85%,0.00%,27,26,27,6.07%,-9.77%,1005023.151,6470534.399,7/3/23,VUT,4,6100294.852,3458,5208,7171450.445,3754,7578,558,3530,1736,5208,0.00%,-31.27%,2.08%,-5.97%
21-Jul-23,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,-6.67%,7.69%,28,30,26,-0.30%,-5.62%,1116096.225,6916050.057,7/21/23,VUT,4,6937183.652,3868,19407,7328107.536,3702,9926,658,3974,1736,8643,-55.46%,-12.93%,2.74%,7.35%
31-Jul-23,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,-3.70%,4.00%,26,27,25,-15.58%,-14.53%,846420.9865,5956221.418,7/31/23,VUT,4,7055690.166,4086,15177,6968951.357,3544,8416,434,3510,0,8606,-43.30%,2.26%,-14.10%,-0.96%
29-Aug-23,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,-7.41%,-3.85%,25,27,26,-14.56%,-14.19%,438572.1659,6219876.951,8/29/23,VUT,2,7280144.655,4046,1699,7248245.923,3646,5776,250,3402,0,0,-100.00%,-100.00%,-15.92%,-6.69%
4-Sep-23,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,-7.69%,-7.69%,24,26,26,-7.44%,-12.34%,1051068.941,6173352.056,9/4/23,VUT,4,6669407.651,3672,,7042777.199,3612,8416,594,3434,0,0,,-100.00%,-6.48%,-4.93%
5-Sep-23,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,0.00%,-3.85%,25,25,26,6.48%,-5.96%,888102.866,6622882.756,9/5/23,VUT,3,6219876.951,3402,,7042777.199,3612,8416,520,3704,0,0,,-100.00%,8.88%,2.55%
16-Sep-23,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,-7.14%,0.00%,26,28,26,-7.29%,-1.21%,1288660.808,6957358.161,9/16/23,VUT,5,7504567.679,4012,,7042777.199,3612,8416,752,3778,0,0,,-100.00%,-5.83%,4.60%
21-Sep-23,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,-11.54%,-11.54%,23,26,26,-9.47%,-12.10%,419192.0063,6190266.071,9/21/23,VUT,2,6837649.15,3778,,7042777.199,3612,8416,248,3370,0,0,,-100.00%,-10.80%,-6.70%
25-Sep-23,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,-37.04%,-32.00%,17,27,25,-53.42%,-49.33%,629261.9521,3483410.647,9/25/23,VUT,3,7477857.133,4050,,6875374.497,3448,4938,424,2248,0,0,,-100.00%,-44.49%,-34.80%
1-Oct-23,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,44.44%,8.33%,26,18,24,67.06%,-3.59%,820839.9922,6524024.32,10/1/23,VUT,3,3905217.636,2418,,6767218.39,3380,4938,414,3676,0,1699,,-65.59%,52.03%,8.76%
20-Oct-23,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,10.34%,28.00%,32,29,25,6.09%,14.84%,1198485.827,7961737.902,10/20/23,VUT,5,7504400.368,4186,,6933137.965,3516,7578,664,4496,0,0,,-100.00%,7.41%,27.87%
27-Oct-23,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,-25.00%,-7.69%,24,32,26,-21.44%,-11.46%,1635005.55,6254846.265,10/27/23,VUT,5,7961737.902,4496,,7064645.331,3584,10400,728,3490,1736,3435,,-66.97%,-22.38%,-2.62%
30-Oct-23,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,-20.00%,-7.69%,24,30,26,-19.09%,-13.51%,1005023.151,6110108.492,10/30/23,VUT,4,7551458.622,4158,,7064645.331,3584,10400,558,3352,1736,5171,,-50.28%,-19.38%,-6.47%
4-Jan-20,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,11.54%,0.00%,29,26,29,1.98%,-1.05%,1428150.648,7602981.583,1/4/20,VUT,5,7455550.308,3810,9926,7683401.038,4218,9926,652,4092,0,11436,15.21%,15.21%,7.40%,-2.99%
6-Jan-20,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,-3.45%,-6.67%,28,29,30,-8.27%,-3.99%,1203205.03,7440211.751,1/6/20,VUT,6,8110637.714,4296,11436,7749195.693,4286,9926,832,3910,6790,12946,13.20%,30.43%,-8.99%,-8.77%
7-Jan-20,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,-3.45%,-6.67%,28,29,30,-8.71%,-4.45%,1177487.412,7404398.359,1/7/20,VUT,4,8110637.714,4296,11436,7749195.693,4286,9926,524,3882,2298,12108,5.88%,21.98%,-9.64%,-9.43%
17-Jan-20,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,3.57%,0.00%,29,28,29,-2.00%,2.71%,588085.6819,7256381.846,1/17/20,VUT,3,7404398.359,3882,12108,7064660.941,4074,12946,486,4058,1510,10598,-12.47%,-18.14%,4.53%,-0.39%
24-Jan-20,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,-6.90%,-10.00%,27,29,30,0.00%,-3.16%,498631.9547,7256197.277,1/24/20,VUT,2,7256381.846,4058,10598,7492782.311,4256,11436,316,3902,1510,13057,23.20%,14.17%,-3.84%,-8.32%
8-Feb-20,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,-56.00%,-54.17%,11,25,24,-72.11%,-69.31%,491919.5752,1781784.736,2/8/20,VUT,2,6389474.115,3556,13057,5805777.094,3356,9926,340,1412,877,5523,-57.70%,-44.36%,-60.29%,-57.93%
18-Feb-20,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,63.64%,-25.00%,18,11,24,143.55%,-27.07%,791493.8146,4339501.968,2/18/20,VUT,3,1781784.736,1412,5523,5950019.944,3354,4646,382,2602,3136,5523,0.00%,18.88%,84.28%,-22.42%
9-Mar-20,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,5.88%,-25.00%,18,17,24,3.54%,-4.77%,1126380.064,5522606.03,3/9/20,VUT,5,5333735.503,2564,4990,5799462.713,3344,11436,686,2744,5280,9926,98.92%,-13.20%,7.02%,-17.94%
15-Mar-20,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,37.50%,-4.35%,22,16,23,14.13%,4.72%,731647.9935,5995725.836,3/15/20,VUT,4,5253595.28,2484,6500,5725636.872,3276,11436,554,3316,0,9293,42.97%,-18.74%,33.49%,1.22%
16-Mar-20,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,22.22%,-4.35%,22,18,23,8.57%,4.72%,1126380.064,5995725.836,3/16/20,VUT,5,5522606.03,2744,9926,5725636.872,3276,11436,686,3316,5280,9293,-6.38%,-18.74%,20.85%,1.22%
22-Mar-20,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,-4.55%,-12.50%,21,22,24,0.41%,3.80%,379419.485,6020013.5,3/22/20,VUT,1,5995725.836,3316,9293,5799462.713,3344,11436,170,3266,0,9926,6.81%,-13.20%,-1.51%,-2.33%
30-Jun-20,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,,-96.00%,1,,25,,-97.48%,173950.7614,173950.7614,6/30/20,VUT,1,,,,6901723.765,3510,3136,136,136,2640,2640,,-15.82%,,-96.13%
27-Jul-20,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,200.00%,-88.00%,3,1,25,235.96%,-96.93%,65794.65514,221043.0375,7/27/20,VUT,1,65794.65514,68,,7204549.412,3566,7286,68,306,0,0,,-100.00%,350.00%,-91.42%
25-Aug-20,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,0.00%,-92.59%,2,2,27,130.71%,-95.17%,65794.65514,358171.1026,8/25/20,VUT,1,155248.3823,238,,7422196.684,3782,8416,68,204,0,2640,,-68.63%,-14.29%,-94.61%
28-Aug-20,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,300.00%,-84.62%,4,1,26,1157.01%,-88.59%,89453.72717,827044.3149,8/28/20,VUT,1,65794.65514,68,,7248245.923,3646,5776,170,544,0,2640,,-54.29%,700.00%,-85.08%
12-Sep-20,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,0.00%,-80.77%,5,5,26,-2.12%,-80.87%,321877.9498,1347300.424,9/12/20,VUT,1,1376550.948,614,2640,7042777.199,3612,8416,170,748,0,0,-100.00%,-100.00%,21.82%,-79.29%
22-Sep-20,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,-66.67%,-92.31%,2,6,26,-78.91%,-94.50%,65794.65514,387672.605,9/22/20,VUT,1,1838055.031,918,,7042777.199,3612,8416,68,238,0,0,,-100.00%,-74.07%,-93.41%
24-Sep-20,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,25.00%,-80.00%,5,4,25,-25.43%,-85.15%,164486.6379,1021032.455,9/24/20,VUT,1,1369181.819,578,,6875374.497,3448,4938,170,748,0,0,,-100.00%,29.41%,-78.31%
8-Mar-20,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,,,1,,,,,45850.6685,45850.6685,3/8/20,VUT,1,,,,,,,170,170,2127,2127,,,,
12-Mar-20,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,,,3,,,,,45850.6685,137552.0055,3/12/20,VUT,1,,,,,,,170,510,2127,6381,,,,
26-Mar-20,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,-25.00%,,3,4,,-25.00%,,45850.6685,137552.0055,3/26/20,VUT,1,183402.674,680,8508,,,,170,510,2127,6381,-25.00%,,-25.00%,
24-Jul-20,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,,,4,,,,,91701.33699,183402.674,7/24/20,VUT,2,,,,,,,340,680,4254,8508,,,,
18-Aug-20,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,200.00%,,6,2,,200.00%,,91701.33699,275104.011,8/18/20,VUT,2,91701.33699,340,4254,,,,340,1020,4254,12762,200.00%,,200.00%,
20-Sep-20,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,150.00%,,5,2,,150.00%,,45850.6685,229253.3425,9/20/20,VUT,1,91701.33699,340,4254,,,,170,850,2127,10635,150.00%,,150.00%,
25-Sep-20,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,25.00%,,5,4,,25.00%,,91701.33699,229253.3425,9/25/20,VUT,2,183402.674,680,8508,,,,340,850,4254,10635,25.00%,,25.00%,
4-Oct-20,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,-33.33%,,4,6,,-33.33%,,91701.33699,183402.674,10/4/20,VUT,2,275104.011,1020,12762,,,,340,680,4254,8508,-33.33%,,-33.33%,
18-Oct-20,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,0.00%,,4,4,,0.00%,,91701.33699,183402.674,10/18/20,VUT,2,183402.674,680,8508,,,,340,680,4254,8508,0.00%,,0.00%,
