,source,target,volume,source_idx,target_idx
0,inflation,inflation,100,56,56
1,inflation,economy,14,56,23
2,inflation,economics,11,56,51
3,inflation,rate,11,56,82
4,inflation,unemployment,11,56,86
5,inflation,inflation rate,11,56,48
6,inflation,policy,10,56,101
7,inflation,price,9,56,19
8,inflation,government,8,56,41
9,inflation,demand,7,56,24
10,inflation,interest,7,56,73
11,inflation,cost,7,56,60
12,inflation,money,7,56,102
13,inflation,gross domestic product,6,56,78
14,inflation,interest rate,6,56,28
15,inflation,supply,5,56,27
16,inflation,monetary policy,5,56,42
17,inflation,goods,4,56,74
18,inflation,trade,4,56,110
19,inflation,tax,4,56,107
20,inflation,wage,4,56,29
21,inflation,demand-pull inflation,4,56,30
22,inflation,fiscal policy,4,56,105
23,inflation,cost-push inflation,4,56,59
24,inflation,formula,4,56,31
25,inflation rate,inflation,100,48,56
26,inflation rate,inflation rate,46,48,48
27,inflation rate,rate,44,48,82
28,inflation rate,interest,20,48,73
29,inflation rate,interest rate,17,48,28
30,inflation rate,unemployment,15,48,86
31,inflation rate,government,15,48,41
32,inflation rate,economy,15,48,23
33,inflation rate,gross domestic product,13,48,78
34,inflation rate,economics,12,48,51
35,inflation rate,policy,10,48,101
36,inflation rate,price,10,48,19
37,inflation rate,exchange rate,10,48,72
38,inflation rate,calculation,9,48,14
39,inflation rate,tax,9,48,107
40,inflation rate,formula,9,48,31
41,inflation rate,consumer price index,8,48,16
42,inflation rate,cut,7,48,10
43,inflation rate,trade,7,48,110
44,inflation rate,money,7,48,102
45,inflation rate,cost,6,48,60
46,inflation rate,market,6,48,3
47,inflation rate,demand,6,48,24
48,inflation rate,economic growth,6,48,81
49,inflation rate,monetary policy,6,48,42
50,CPI,consumer price index,100,121,16
51,CPI,calculation,14,121,14
52,CPI,inflation,9,121,56
53,CPI,price,9,121,19
54,CPI,index,8,121,43
55,CPI,price index,7,121,90
56,CPI,consumer,6,121,20
57,CPI,formula,5,121,31
58,CPI,gross domestic product,5,121,78
59,CPI,statistics,4,121,57
60,CPI,salary,4,121,18
61,CPI,payment,4,121,84
62,CPI,bank of papua new guinea,3,121,34
63,CPI,economics,3,121,51
64,CPI,measurement,3,121,95
65,CPI,cost,3,121,60
66,CPI,inflation rate,2,121,48
67,CPI,tax,2,121,107
68,CPI,december,1,121,45
69,CPI,public servant,1,121,67
70,CPI,percentage,1,121,62
71,CPI,report,1,121,53
72,prices,price,100,58,19
73,prices,house,6,58,106
74,prices,gold,5,58,46
75,prices,coffee,4,58,4
76,prices,share price,4,58,15
77,prices,stock,4,58,108
78,prices,market,3,58,3
79,prices,laptop,3,58,68
80,prices,ticket,3,58,87
81,prices,gold as an investment,3,58,88
82,prices,commodity,3,58,70
83,prices,ela motors hq.,3,58,93
84,prices,kit house,3,58,79
85,prices,share,2,58,9
86,prices,airline,2,58,36
87,prices,goods,2,58,74
88,prices,fuel,2,58,96
89,prices,toyota land cruiser,2,58,98
90,prices,lumber,2,58,99
91,prices,petroleum,2,58,111
92,prices,outboard motor,1,58,8
93,food price,food,100,114,26
94,food price,price,85,114,19
95,food price,bride,15,114,109
96,food price,philippines,9,114,116
97,food price,income,9,114,17
98,food price,custom,8,114,118
99,food price,share,8,114,9
100,food price,goods,8,114,74
101,food price,restaurant,8,114,54
102,food price,bride price,8,114,52
103,food price,share price,6,114,15
104,food price,market,6,114,3
105,food price,eating,5,114,35
106,food price,new guinea,5,114,115
107,food price,gold,4,114,46
108,food price,ceremony,4,114,89
109,food price,drink,3,114,65
110,food price,crop,3,114,32
111,food price,culture,2,114,21
112,price index,price,100,90,19
113,price index,price index,75,90,90
114,price index,index,66,90,43
115,price index,consumer price index,55,90,16
116,price index,consumer,53,90,20
117,price index,share,18,90,9
118,price index,calculation,18,90,14
119,price index,stock market index,17,90,112
120,price index,stock,13,90,108
121,price index,share price,12,90,15
122,price index,s&p/asx 200,11,90,38
123,price index,inflation,9,90,56
124,price index,measurement,9,90,95
125,price index,formula,9,90,31
126,price index,dow jones industrial average,7,90,6
127,price index,gross domestic product,6,90,78
128,price index,bitcoin,6,90,113
129,price index,money,6,90,102
130,price index,unemployment,6,90,86
131,price index,income,5,90,17
132,price index,economics,5,90,51
133,price index,london,5,90,91
134,price index,coffee,5,90,4
135,price index,copper,4,90,1
136,price index,webjet,4,90,94
137,price in port moresby,port moresby,100,63,13
138,price in port moresby,price,86,63,19
139,price in port moresby,gold,21,63,46
140,price in port moresby,gold as an investment,20,63,88
141,price in port moresby,sales,12,63,97
142,price in port moresby,papua new guinean kina,7,63,117
143,price in port moresby,buyer,5,63,44
144,price in port moresby,cost,4,63,60
145,price in port moresby,market,4,63,3
146,price in port moresby,room,4,63,119
147,price in port moresby,samsung,4,63,25
148,price in port moresby,cheap,4,63,12
149,price in port moresby,gram,3,63,47
150,price in port moresby,toyota,3,63,85
151,price in port moresby,lodging,3,63,66
152,price in port moresby,jacksons international airport,3,63,22
153,price in port moresby,waigani,3,63,39
154,price in port moresby,samsung galaxy,3,63,71
155,price in port moresby,kilogram,3,63,69
156,price in port moresby,shopping,2,63,80
157,price in port moresby,samsung electronics,2,63,64
158,port moresby price,port moresby,100,40,13
159,port moresby price,price,84,40,19
160,port moresby price,gold,14,40,46
161,port moresby price,gold as an investment,13,40,88
162,port moresby price,sales,9,40,97
163,port moresby price,hotel,6,40,37
164,port moresby price,flight,5,40,104
165,port moresby price,waigani,4,40,39
166,port moresby price,cost,4,40,60
167,port moresby price,ticket,4,40,87
168,port moresby price,gram,3,40,47
169,port moresby price,toyota,3,40,85
170,port moresby price,port moresby,3,40,13
171,port moresby price,jacksons international airport,3,40,22
172,port moresby price,fare,3,40,61
173,port moresby price,machine,2,40,5
174,port moresby price,toyota land cruiser,2,40,98
175,port moresby price,kilogram,2,40,69
176,port moresby price,hilton hotels & resorts,2,40,7
177,port moresby price,lodging,2,40,66
178,port moresby price,png air,2,40,50
179,port moresby price,cheap,2,40,12
180,port moresby price,ela motors hq.,2,40,93
181,port moresby price,stock,2,40,108
182,price in lae,lae,100,75,120
183,price in lae,price,75,75,19
184,price in lae,gold,46,75,46
185,price in lae,gold as an investment,41,75,88
186,price in lae,sales,13,75,97
187,price in lae,gram,10,75,47
188,price in lae,papua new guinean kina,9,75,117
189,price in lae,house,6,75,106
190,price in lae,buyer,6,75,44
191,price in lae,coffee,5,75,4
192,price in lae,market,5,75,3
193,price in lae,fare,4,75,61
194,price in lae,room,3,75,119
195,price in lae,city,3,75,76
196,price in lae,location,2,75,100
197,price in lae,calculator,2,75,49
198,price in lae,morobe province,2,75,2
199,price in lae,kokopo,1,75,55
200,price in lae,ticket,1,75,87
201,lae price,lae,100,11,120
202,lae price,price,83,11,19
203,lae price,gold,31,11,46
204,lae price,gold as an investment,27,11,88
205,lae price,sales,10,11,97
206,lae price,png air,8,11,50
207,lae price,papua new guinean kina,8,11,117
208,lae price,jacksons international airport,7,11,22
209,lae price,ticket,6,11,87
210,lae price,fare,5,11,61
211,lae price,buyer,5,11,44
212,lae price,gram,4,11,47
213,lae price,airline,3,11,36
214,lae price,market,2,11,3
215,lae price,room,2,11,119
216,lae price,city,2,11,76
217,lae price,address,2,11,103
218,lae price,toyota hiace,2,11,92
219,lae price,wewak,2,11,83
220,lae price,goroka,2,11,77
221,lae price,theodist ltd,2,11,33
222,lae price,kilogram,2,11,69
