,source,target,volume,source_idx,target_idx
0,job,job,100,88,88
1,job,job description,16,88,67
2,job,job hunting,15,88,122
3,job,letter,11,88,82
4,job,seek,8,88,131
5,job,workforce,7,88,127
6,job,application for employment,7,88,16
7,job,cover letter,4,88,1
8,job,recruitment,4,88,116
9,job,interview,3,88,10
10,job,job interview,2,88,89
11,job,résumé,2,88,92
12,job,job vacancy,2,88,22
13,job,ok tedi mining,2,88,130
14,job,curriculum vitae,2,88,8
15,job,officer,2,88,30
16,job,current,2,88,97
17,job,career,2,88,72
18,job,lihir island,2,88,142
19,unemployment,unemployment,100,2,2
20,unemployment,unemployment rate,15,2,66
21,unemployment,inflation,14,2,14
22,unemployment,economics,13,2,68
23,unemployment,economy,13,2,98
24,unemployment,government,10,2,19
25,unemployment,employment,7,2,111
26,unemployment,rate,7,2,26
27,unemployment,policy,5,2,40
28,unemployment,structural unemployment,5,2,13
29,unemployment,unemployment benefits,5,2,51
30,unemployment,wage,5,2,99
31,unemployment,workforce,5,2,127
32,unemployment,poverty,4,2,43
33,unemployment,youth,4,2,60
34,unemployment,essay,4,2,150
35,unemployment,cyclical unemployment,4,2,81
36,unemployment,economic growth,3,2,61
37,unemployment,cost,3,2,118
38,unemployment,population,3,2,144
39,unemployment,gross domestic product,3,2,152
40,unemployment,frictional unemployment,3,2,133
41,unemployment,income,3,2,106
42,unemployment,tax,3,2,73
43,unemployment,underemployment,2,2,132
44,hiring,recruitment,100,84,116
45,hiring,job,30,84,88
46,hiring,philippines,8,84,120
47,hiring,poea,5,84,3
48,hiring,mechanic,5,84,46
49,hiring,philippine overseas employment administration,5,84,20
50,hiring,filipino,5,84,75
51,hiring,new zealand,5,84,140
52,hiring,interview,4,84,10
53,hiring,canada,3,84,93
54,hiring,welding,3,84,137
55,hiring,welder,3,84,33
56,hiring,construction,3,84,35
57,hiring,human resources,3,84,108
58,hiring,human resource management,2,84,36
59,hiring,equipment,2,84,69
60,hiring,contract,2,84,95
61,hiring,heavy equipment,2,84,141
62,hiring,car rental,2,84,7
63,hiring,officer,2,84,30
64,hiring,accountant,2,84,57
65,hiring,rent,2,84,42
66,hiring,job description,2,84,67
67,layoff,layoff,100,126,126
68,layoff,letter,33,126,82
69,layoff,employee,20,126,32
70,job market,market,100,78,4
71,job market,job,92,78,88
72,job market,job hunting,23,78,122
73,job market,workforce,14,78,127
74,job market,money,14,78,145
75,job market,role,14,78,153
76,job market,production,13,78,76
77,job market,sales,13,78,112
78,job market,job description,12,78,67
79,job market,labour economics,8,78,107
80,job market,letter,8,78,82
81,job market,job evaluation,8,78,25
82,job market,organization,7,78,85
83,job market,definition,6,78,59
84,job opportunities,job,100,45,88
85,job opportunities,career,7,45,72
86,job opportunities,mining,6,45,134
87,job opportunities,employment,6,45,111
88,job opportunities,job hunting,6,45,122
89,job opportunities,institute,4,45,17
90,job opportunities,recruitment,4,45,116
91,job opportunities,liquefied natural gas,3,45,114
92,job opportunities,engineering,3,45,34
93,job opportunities,png power,3,45,63
94,job opportunities,graduation ceremony,3,45,86
95,job opportunities,newcrest mining,3,45,77
96,job opportunities,canada,3,45,93
97,job opportunities,job description,2,45,67
98,job opportunities,interoil,2,45,121
99,job vacancy,job,100,22,88
100,job vacancy,job vacancy,45,22,22
101,job vacancy,lae,12,22,47
102,job vacancy,letter,10,22,82
103,job vacancy,mining,8,22,134
104,job vacancy,workforce,7,22,127
105,job vacancy,cover letter,7,22,1
106,job vacancy,application for employment,7,22,16
107,job vacancy,recruitment,6,22,116
108,job vacancy,job hunting,5,22,122
109,job vacancy,current,5,22,97
110,job vacancy,human resources,4,22,108
111,job vacancy,oil search,3,22,83
112,job vacancy,ok tedi mining,3,22,130
113,job vacancy,lihir island,3,22,142
114,job vacancy,advertising,3,22,123
115,job vacancy,seek,3,22,131
116,job vacancies,job,100,87,88
117,job vacancies,mining,12,87,134
118,job vacancies,lae,10,87,47
119,job vacancies,workforce,8,87,127
120,job vacancies,ok tedi mining,7,87,130
121,job vacancies,current,6,87,97
122,job vacancies,recruitment,5,87,116
123,job vacancies,lihir island,5,87,142
124,job vacancies,job hunting,5,87,122
125,job vacancies,seek,3,87,131
126,job vacancies,oil search,3,87,83
127,job vacancies,human resources,3,87,108
128,job vacancies,gold mining,2,87,105
129,job vacancies,newcrest mining,2,87,77
130,job vacancies,customs,2,87,54
131,job vacancies,career,2,87,72
132,job vacancies,bank of papua new guinea,2,87,124
133,job training,training,100,11,74
134,job training,job,65,11,88
135,job training,on-the-job training,24,11,91
136,job training,job description,18,11,67
137,job training,letter,12,11,82
138,job training,course,9,11,117
139,job training,management,8,11,12
140,job training,apprenticeship,7,11,58
141,job training,human resource development,7,11,129
142,job training,application for employment,7,11,16
143,job training,college,6,11,115
144,job training,computers and information technology,5,11,31
145,job training,human resources,5,11,108
146,job training,cover letter,5,11,1
147,job training,mapex training institute,5,11,138
148,job training,aircraft pilot,5,11,146
149,job training,recruitment,5,11,116
150,job training,skill,4,11,101
151,job training,institute,4,11,17
152,job training,mining,4,11,134
153,job training,job hunting,4,11,122
154,job training,industry,3,11,49
155,job training,résumé,3,11,92
156,job training,ok tedi mining,3,11,130
157,job training,organization,3,11,85
158,job application,application for employment,100,15,16
159,job application,letter,63,15,82
160,job application,job,48,15,88
161,job application,cover letter,40,15,1
162,job application,writing,22,15,103
163,job application,form,14,15,90
164,job application,curriculum vitae,12,15,8
165,job application,résumé,11,15,92
166,job application,computer application,11,15,151
167,job application,recruitment,7,15,116
168,job application,file format,5,15,100
169,job application,address,5,15,70
170,job application,mining,4,15,134
171,job application,police,4,15,52
172,job application,letter of intent,4,15,110
173,job application,job hunting,4,15,122
174,job application,job description,3,15,67
175,job application,business letter,3,15,109
176,job application,interest,3,15,71
177,job application,ok tedi mining,3,15,130
178,job application,experience,3,15,48
179,job application,template,2,15,21
180,unemployment rate,unemployment,100,66,2
181,unemployment rate,unemployment rate,70,66,66
182,unemployment rate,rate,32,66,26
183,unemployment rate,inflation,17,66,14
184,unemployment rate,economy,17,66,98
185,unemployment rate,government,13,66,19
186,unemployment rate,gross domestic product,11,66,152
187,unemployment rate,inflation rate,8,66,64
188,unemployment rate,interest,8,66,71
189,unemployment rate,economics,8,66,68
190,unemployment rate,workforce,7,66,127
191,unemployment rate,policy,7,66,40
192,unemployment rate,infant mortality,6,66,41
193,unemployment rate,essay,6,66,150
194,unemployment rate,interest rate,6,66,102
195,unemployment rate,formula,6,66,9
196,unemployment rate,life expectancy,6,66,139
197,unemployment rate,cut,5,66,38
198,unemployment rate,economic growth,5,66,61
199,unemployment rate,payment,5,66,18
200,unemployment rate,mortality rate,5,66,37
201,unemployment rate,demand,5,66,135
202,unemployment rate,tax,5,66,73
203,unemployment rate,balance of payments,4,66,113
204,unemployment rate,business structure,4,66,39
205,jobs in port moresby,port moresby,100,55,143
206,jobs in port moresby,job,69,55,88
207,jobs in port moresby,part-time job,11,55,149
208,jobs in port moresby,hotel,8,55,23
209,jobs in port moresby,company,6,55,147
210,jobs in port moresby,seek,5,55,131
211,jobs in port moresby,workforce,5,55,127
212,jobs in port moresby,recruitment,4,55,116
213,jobs in port moresby,security,4,55,24
214,jobs in port moresby,salary,3,55,5
215,jobs in port moresby,waigani,3,55,80
216,jobs in port moresby,accounting,3,55,53
217,jobs in port moresby,united nations,3,55,94
218,jobs in port moresby,engineering,3,55,34
219,jobs in port moresby,student,3,55,136
220,jobs in port moresby,course,3,55,117
221,jobs in port moresby,job hunting,2,55,122
222,jobs in port moresby,human resources,2,55,108
223,jobs in port moresby,officer,2,55,30
224,jobs in port moresby,the stanley hotel & suites,2,55,28
225,jobs in port moresby,hospitality,2,55,56
226,jobs in port moresby,port,2,55,6
227,jobs in port moresby,hilton hotels & resorts,2,55,96
228,job in port moresby,port moresby,100,50,143
229,job in port moresby,job,53,50,88
230,job in port moresby,hotel,7,50,23
231,job in port moresby,job hunting,6,50,122
232,job in port moresby,job vacancy,5,50,22
233,job in port moresby,recruitment,4,50,116
234,job in port moresby,address,4,50,70
235,job in port moresby,part-time job,4,50,149
236,job in port moresby,seek,4,50,131
237,job in port moresby,company,4,50,147
238,job in port moresby,current,4,50,97
239,job in port moresby,workforce,3,50,127
240,job in port moresby,security,3,50,24
241,job in port moresby,hilton,3,50,44
242,job in port moresby,hilton hotels & resorts,2,50,96
243,job in port moresby,job description,2,50,67
244,job in port moresby,application for employment,2,50,16
245,job in port moresby,waigani,2,50,80
246,job in port moresby,holiday inn,2,50,29
247,job in port moresby,coca-cola,2,50,104
248,job in lae,lae,100,119,47
249,job in lae,job,56,119,88
250,job in lae,morobe province,9,119,128
251,job in lae,current,7,119,97
252,job in lae,job vacancy,7,119,22
253,job in lae,workforce,6,119,127
254,job in lae,job hunting,4,119,122
255,job in lae,mining,4,119,134
256,job in lae,lae biscuit co. ltd,3,119,148
257,job in lae,seek,3,119,131
258,job in lae,address,3,119,70
259,job in lae,human resources,3,119,108
260,job in lae,coca-cola,2,119,104
261,job in lae,logistics,2,119,79
262,job in lae,nestlé,2,119,125
263,job in lae,industry,2,119,49
264,jobs in lae,lae,100,62,47
265,jobs in lae,job,66,62,88
266,jobs in lae,workforce,12,62,127
267,jobs in lae,mining,11,62,134
268,jobs in lae,morobe province,7,62,128
269,jobs in lae,job hunting,6,62,122
270,jobs in lae,logistics,6,62,79
271,jobs in lae,course,5,62,117
272,jobs in lae,institute,4,62,17
273,jobs in lae,nestlé,4,62,125
274,jobs in lae,kina bank limited,4,62,27
275,jobs in lae,brewery,3,62,65
276,jobs in lae,construction,3,62,35
277,jobs in lae,rent,2,62,42
278,jobs in lae,seek,2,62,131
279,jobs in lae,part-time job,2,62,149
280,jobs in lae,company,2,62,147
281,jobs in lae,engineering,1,62,34
