date,score,z_score
2021-05-01,0.5287940594059406,-0.24856139600679175
2021-06-01,0.5086262195121951,-0.2803889558927426
2021-07-01,0.484708280254777,-0.3181346762115602
2021-08-01,0.6145448979591837,-0.11323505646309841
2021-09-01,0.6578786982248521,-0.04484849993013424
2021-10-01,0.6869207207207207,0.0009837119014882657
2021-11-01,0.6030466101694915,-0.13138089881113388
2021-12-01,0.4937270042194093,-0.3039019185839963
2022-01-01,0.611606726457399,-0.1178718856882871
2022-02-01,0.4010281407035176,-0.45019317463599456
2022-03-01,0.5095000000000001,-0.27901001293458216
2022-04-01,0.6229006211180125,-0.10004860314786133
2022-05-01,0.644075956284153,-0.06663108041581951
2022-06-01,0.588911475409836,-0.15368803980536794
2022-07-01,0.4007953216374269,-0.4505605943898022
2022-08-01,0.5768076923076924,-0.1727894350742538
2022-09-01,0.4021112426035503,-0.44848389437754865
2022-10-01,0.4561653846153846,-0.36317919883110655
2022-11-01,0.711244394618834,0.03936973597333873
2022-12-01,0.6706458823529412,-0.024700168747788114
2023-01-01,0.5396827586206897,-0.23137756629754214
2023-02-01,0.6281454545454546,-0.09177155162012095
2023-03-01,0.5804782857142857,-0.16699674571927942
2023-04-01,0.6759031007751939,-0.016403572034936257
2023-05-01,0.717228,0.04881266886086218
2023-06-01,0.6443097826086956,-0.06626207107290027
2023-07-01,0.7158029411764706,0.04656373465244701
2023-08-01,0.7538394594594594,0.10659046879368386
2023-09-01,0.7777110619469026,0.14426306346646967
2023-10-01,0.7280424242424243,0.06587928268868125
2023-11-01,0.8302385593220338,0.2271585087483704
2023-12-01,0.7930137777777778,0.16841280419680502
2024-01-01,0.6800863247863248,-0.009801882739896432
2024-02-01,0.7729474178403756,0.1367453933106853
2024-03-01,0.7973245283018868,0.17521574745608895
2024-04-01,0.8280128205128204,0.2236459939915127
2024-05-01,0.8544251256281407,0.2653281586265345
2024-06-01,0.8654218604651163,0.2826824830568026
2024-07-01,0.7999115384615384,0.1792983969225501
2024-08-01,0.8286111607142858,0.22459025518629813
2024-09-01,0.7924044897959184,0.1674512659342747
2024-10-01,0.7972380530973452,0.17507927796973347
2024-11-01,0.8355224299065421,0.23549716615263738
2024-12-01,0.8265221774193549,0.22129355899719444
2025-01-01,0.713012972972973,0.04216079013560472
2025-02-01,0.8284245,0.22429567951068866
2025-03-01,0.8036048979591837,0.18512701422668215
2025-04-01,0.8289923404255319,0.22519180796294228
2025-05-01,0.7825721153846155,0.15193445862890312
2025-06-01,0.6621495000000001,-0.03810860116181345
2025-07-01,0.6518616216216216,-0.05434425490124858
2025-08-01,0.6540717791411043,-0.05085632951214765
2025-09-01,0.7122618279569893,0.040975382421877975
